amount,previous_successes,previous_failures,retry_count,customer_age_days,payment_method,failure_type,hour,recovered
8721.89,8,4,3,148,Card,network,20,0
8785.21,13,4,2,940,NetBanking,network,17,1
986.58,9,2,3,276,Card,expired,0,1
8172.26,4,2,2,490,UPI,network,15,1
7682.11,9,4,1,825,UPI,expired,6,1
5649.49,12,1,1,742,Wallet,network,7,1
4280.17,7,4,2,301,NetBanking,network,6,0
1905.83,9,0,3,642,Wallet,expired,22,0
1959.12,0,1,0,557,UPI,declined,3,1
1337.89,14,5,0,248,UPI,declined,0,1
3484.94,9,3,2,484,UPI,expired,2,0
9521.28,1,2,3,83,Wallet,declined,6,0
2575.79,12,0,0,796,Card,network,14,1
9945.9,6,3,0,543,Card,network,12,1
3189.88,10,1,0,772,UPI,expired,15,1
2067.36,1,5,1,125,Card,network,10,1
7964.46,18,0,3,818,Card,temporary,1,1
6938.44,19,1,2,799,UPI,declined,5,0
6890.85,10,5,0,71,NetBanking,declined,22,0
1163.18,15,1,2,581,NetBanking,network,23,1
6923.57,11,5,1,266,UPI,network,22,1
3017.67,15,1,1,566,NetBanking,expired,23,1
8689.85,19,4,1,80,Card,network,9,0
5461.9,14,0,3,761,Card,temporary,19,0
7782.56,7,2,0,684,Wallet,declined,16,0
7680.77,4,4,2,340,Wallet,expired,3,1
6623.02,1,1,1,904,UPI,declined,3,0
1077.66,18,5,3,683,Wallet,expired,1,0
6098.94,2,0,1,681,Wallet,temporary,14,0
700.93,17,5,3,851,NetBanking,temporary,19,1
502.47,2,2,0,977,Card,temporary,3,0
5363.44,6,1,1,593,Card,network,23,1
6422.38,11,5,3,729,Wallet,temporary,5,0
5544.66,16,2,1,556,Wallet,expired,10,1
9968.82,11,3,3,855,NetBanking,declined,18,0
3813.12,17,5,2,378,Wallet,network,12,1
443.16,9,4,0,540,Card,expired,0,1
2296.68,10,0,2,951,Card,temporary,1,1
1645.46,8,2,1,248,NetBanking,expired,2,0
5733.74,6,5,0,750,NetBanking,network,5,1
9000.34,18,0,2,48,Wallet,temporary,1,0
3410.46,13,3,0,900,Card,temporary,20,1
3886.62,9,4,0,336,Card,expired,16,0
1616.66,12,3,0,237,Wallet,expired,12,1
3428.06,15,4,0,571,Wallet,expired,2,1
4401.46,4,1,3,582,Card,network,12,0
2041.38,19,5,1,258,UPI,expired,13,1
9248.97,2,0,3,443,NetBanking,expired,6,0
5979.38,0,2,1,368,Wallet,declined,14,1
8199.9,6,5,2,169,UPI,temporary,23,1
9494.52,4,2,0,361,UPI,expired,14,0
3385.58,17,1,1,569,NetBanking,network,19,1
1499.34,0,3,0,271,Card,temporary,9,1
6995.61,8,0,3,680,UPI,temporary,12,1
6663.52,11,0,0,309,Wallet,declined,12,1
7125.92,10,3,0,200,Card,network,17,0
312.74,7,4,2,351,Wallet,network,23,1
3533.12,11,2,2,251,NetBanking,temporary,20,1
3932.99,0,4,2,240,Card,expired,12,0
969.17,12,4,1,437,Card,declined,13,0
9106.38,10,3,1,221,Card,declined,4,1
7080.85,16,1,3,940,Card,declined,10,1
5376.32,3,1,2,869,Card,temporary,10,0
4199.0,13,2,3,773,NetBanking,declined,6,1
1928.99,19,4,2,630,Card,declined,7,0
3656.69,15,1,3,739,NetBanking,declined,12,0
1461.38,6,1,0,428,UPI,expired,13,1
6746.26,6,1,0,191,Wallet,network,22,1
4629.69,7,3,3,804,UPI,network,23,1
6153.9,18,4,0,543,UPI,network,14,0
519.92,7,4,3,762,UPI,network,16,0
9629.66,6,2,3,417,NetBanking,expired,14,1
3014.76,1,5,1,484,Wallet,temporary,23,1
1879.74,18,5,1,412,Wallet,expired,14,1
4591.44,6,3,0,266,NetBanking,declined,22,0
1002.79,14,5,2,97,Wallet,declined,12,0
534.67,5,2,1,176,Card,declined,22,1
3149.82,14,2,1,130,Card,declined,0,0
2605.8,14,3,3,566,UPI,network,7,1
6628.76,14,3,3,91,UPI,declined,17,0
6323.49,6,0,1,161,UPI,expired,1,1
421.08,18,4,2,349,UPI,temporary,3,1
1864.66,9,4,1,999,Wallet,expired,1,1
3063.02,11,3,0,786,Wallet,temporary,9,1
1308.03,8,2,3,547,Card,declined,19,1
5756.53,20,4,0,505,NetBanking,network,19,0
2670.63,18,4,2,959,Card,network,16,0
5027.64,5,4,1,735,NetBanking,declined,0,1
4702.37,3,5,1,828,Wallet,network,1,1
5648.11,20,1,0,665,Card,expired,8,0
3146.95,16,4,2,795,UPI,temporary,21,1
4020.89,18,4,0,862,Card,declined,10,0
9230.57,15,3,0,671,Card,network,4,1
8931.38,17,2,3,812,Wallet,temporary,16,1
7277.15,10,4,0,223,NetBanking,expired,2,0
2876.55,0,2,3,651,Card,network,5,0
8659.48,9,5,2,736,UPI,expired,13,1
8782.78,11,3,2,231,NetBanking,declined,3,0
470.21,6,0,3,528,UPI,network,16,1
3467.15,15,5,2,804,NetBanking,declined,3,0
9386.44,4,1,0,480,Wallet,temporary,0,1
535.9,19,0,2,488,UPI,temporary,16,1
7480.99,0,4,2,664,Card,expired,6,0
2838.83,10,3,0,289,Card,declined,8,1
9587.15,17,4,0,221,NetBanking,expired,8,1
7073.1,9,4,1,185,UPI,expired,19,0
5451.71,1,1,0,492,UPI,temporary,12,1
4322.01,5,5,3,641,NetBanking,expired,10,0
7157.7,17,0,3,591,Card,temporary,22,1
4610.28,20,5,3,491,Card,declined,4,0
6207.73,11,3,1,726,NetBanking,expired,14,1
747.12,3,2,3,482,Card,expired,11,0
1361.2,3,3,0,343,UPI,expired,17,0
5946.31,7,4,1,571,Card,network,12,1
2161.56,18,3,3,590,NetBanking,declined,5,0
871.15,18,3,0,616,Wallet,expired,17,1
4507.64,9,3,0,622,UPI,network,10,1
6635.63,2,1,1,918,UPI,declined,21,1
5359.43,12,4,3,210,Card,expired,9,0
9140.72,9,3,2,101,UPI,network,4,0
717.86,17,0,0,730,NetBanking,temporary,9,1
2428.89,18,3,2,738,Wallet,network,12,1
2191.04,5,3,1,202,Wallet,expired,13,1
9974.81,4,1,0,83,UPI,declined,23,0
6613.47,4,0,1,667,Wallet,network,22,1
4314.47,5,3,3,575,Wallet,network,11,1
4305.24,0,4,3,877,Card,expired,13,0
5805.89,1,0,3,731,NetBanking,temporary,18,1
6935.92,4,5,2,486,UPI,temporary,7,0
7442.69,2,5,2,637,UPI,expired,17,0
4741.8,16,3,2,441,NetBanking,expired,9,1
6981.01,19,5,2,754,NetBanking,temporary,20,1
1773.88,1,5,2,838,UPI,expired,15,1
5105.4,8,2,1,640,NetBanking,expired,8,1
1204.34,5,4,1,684,Wallet,expired,5,1
7037.67,15,1,0,361,UPI,declined,19,0
1626.09,15,3,3,253,Wallet,declined,6,0
8434.15,1,5,2,783,UPI,temporary,5,0
4814.7,15,5,1,398,Wallet,network,8,1
8715.75,0,2,3,401,NetBanking,temporary,3,0
6410.5,13,4,2,353,NetBanking,expired,3,1
5883.35,14,5,1,761,Card,expired,21,0
1881.17,17,0,0,861,UPI,temporary,13,1
1128.68,14,2,1,752,NetBanking,expired,6,1
6232.03,1,4,1,983,UPI,temporary,2,0
1386.08,20,4,1,927,UPI,declined,8,1
6638.73,2,5,3,954,NetBanking,network,22,0
7721.82,10,2,1,809,UPI,expired,1,1
3393.28,1,2,2,192,Wallet,temporary,15,0
2086.62,12,1,3,121,Card,network,6,0
1151.87,14,5,2,115,UPI,temporary,2,0
2580.9,14,0,3,162,UPI,temporary,21,1
1600.91,10,3,0,537,Wallet,network,13,1
7304.9,2,4,1,13,Wallet,network,3,0
9356.92,11,2,2,420,UPI,temporary,11,1
9613.16,2,3,2,673,Card,declined,17,1
3903.22,6,2,3,927,UPI,expired,15,1
6364.63,6,1,0,207,UPI,declined,15,1
7948.12,20,2,3,556,Wallet,temporary,1,1
3443.41,1,3,0,226,Wallet,declined,23,0
9255.68,1,5,1,510,UPI,network,19,1
7042.84,4,0,1,657,UPI,expired,3,0
1789.82,18,0,0,126,Wallet,declined,2,0
4319.49,12,2,0,710,Card,expired,6,0
5971.54,10,0,0,290,Card,network,5,1
5578.74,14,1,0,146,UPI,network,5,1
4920.98,0,0,1,958,UPI,expired,13,0
7943.18,15,5,1,221,Card,expired,16,1
2468.61,5,4,0,620,Card,network,19,0
6309.2,9,2,3,14,Card,declined,3,0
9770.24,19,2,1,485,Card,expired,1,1
7986.47,15,3,1,173,UPI,temporary,20,1
2174.94,8,2,3,54,UPI,temporary,17,1
7876.37,15,4,0,82,Card,network,18,1
4248.76,10,1,0,343,Card,temporary,7,1
8711.87,12,1,0,492,Wallet,temporary,13,1
9286.08,14,1,3,392,Card,network,23,1
3650.04,8,1,2,140,UPI,temporary,8,1
8531.35,14,3,1,788,NetBanking,declined,9,0
7916.51,20,4,1,601,Card,temporary,13,1
4943.21,6,4,3,867,Wallet,expired,0,0
7388.17,7,1,2,454,Card,declined,18,0
4235.94,1,0,3,761,UPI,network,16,1
8116.19,3,3,3,256,UPI,temporary,22,0
9504.35,4,2,2,254,UPI,temporary,15,0
1701.85,14,4,0,475,Wallet,declined,22,1
7919.6,11,5,3,730,UPI,temporary,12,0
3395.77,1,2,3,780,NetBanking,declined,21,1
8820.39,1,4,2,919,UPI,temporary,12,1
6229.42,11,2,1,673,UPI,declined,4,0
2462.46,3,5,3,765,Card,declined,10,0
2746.84,13,2,0,74,NetBanking,expired,14,0
5314.16,3,3,2,472,NetBanking,temporary,6,0
4632.95,2,3,1,305,UPI,temporary,5,1
7001.11,15,1,1,543,UPI,expired,13,0
5460.21,4,3,2,440,Wallet,temporary,9,1
318.16,7,4,2,431,NetBanking,expired,15,0
6998.95,17,3,3,321,Card,expired,5,0
2345.14,11,2,0,161,NetBanking,expired,14,0
6224.44,5,5,2,196,Card,declined,5,1
507.4,10,4,1,461,NetBanking,expired,5,1
7100.63,10,2,1,391,Wallet,declined,17,1
9212.3,12,3,1,980,Wallet,expired,4,1
7411.1,16,2,2,495,NetBanking,declined,18,0
9230.69,10,5,0,759,Wallet,temporary,4,1
1257.07,0,3,1,466,NetBanking,temporary,10,1
6449.0,18,4,1,810,NetBanking,declined,0,1
8509.57,2,4,3,209,Wallet,expired,19,0
9439.68,11,3,1,743,Wallet,expired,12,1
2918.04,11,2,3,905,UPI,declined,23,0
7441.12,13,3,2,177,Wallet,network,4,0
6019.56,4,1,2,496,NetBanking,temporary,18,0
975.64,13,5,2,434,Card,network,22,0
9157.23,6,1,3,306,Wallet,temporary,9,0
3108.75,17,5,3,239,UPI,temporary,4,1
9564.66,20,3,0,679,NetBanking,network,5,1
6909.65,7,0,0,793,NetBanking,network,2,1
3681.42,15,4,3,899,NetBanking,network,22,0
3794.7,18,0,2,176,UPI,declined,10,0
6963.5,11,1,0,289,NetBanking,network,20,0
3624.24,9,2,0,536,Card,declined,3,0
1754.65,10,2,2,287,NetBanking,temporary,17,1
8250.82,0,1,2,391,Wallet,network,10,0
1713.99,6,1,1,861,Card,temporary,13,1
856.36,4,0,3,366,NetBanking,expired,4,0
8908.29,19,4,2,186,NetBanking,temporary,23,0
2301.34,4,5,1,324,Card,declined,4,0
4305.57,3,0,0,803,Wallet,network,1,1
424.65,16,4,0,490,UPI,expired,1,1
6709.11,3,0,1,611,Card,declined,21,1
998.72,8,4,2,370,Card,declined,16,0
1081.15,18,0,1,742,Card,expired,5,0
5417.55,3,1,3,385,Card,network,21,0
1890.4,11,3,3,229,Card,network,3,0
3211.37,14,0,1,517,NetBanking,expired,17,0
914.25,15,0,3,300,Wallet,expired,21,0
4495.16,17,3,2,885,Wallet,declined,2,0
8044.12,11,1,0,700,Wallet,temporary,12,1
6619.63,2,0,1,414,Wallet,temporary,23,0
9780.75,2,2,1,356,Card,network,3,1
4304.57,15,2,2,784,Wallet,expired,15,0
9506.37,15,4,2,160,Wallet,temporary,3,1
5023.01,20,1,0,111,UPI,temporary,15,1
9723.52,12,4,2,166,NetBanking,temporary,2,0
5247.49,15,3,1,310,Wallet,network,16,1
3501.79,17,4,0,985,UPI,network,3,1
3214.14,12,3,3,46,UPI,declined,17,0
7815.89,5,3,3,147,NetBanking,network,15,0
5731.67,15,5,3,497,Card,temporary,12,1
5951.35,12,4,2,794,NetBanking,expired,1,1
546.67,11,2,0,793,NetBanking,network,3,1
9920.26,13,2,0,687,Card,declined,7,0
5966.06,2,2,0,355,Card,temporary,17,1
4663.0,13,4,3,283,UPI,network,18,1
3233.49,18,3,2,596,UPI,network,3,0
2138.49,15,4,2,180,NetBanking,expired,13,1
6390.9,2,4,1,304,NetBanking,temporary,9,0
4080.07,7,4,0,744,UPI,expired,8,1
8031.74,15,3,1,365,UPI,expired,16,0
4385.81,17,2,1,434,Wallet,expired,19,1
6748.45,17,1,0,652,Card,network,6,1
8256.69,14,2,3,967,UPI,declined,11,0
2479.7,9,3,3,336,UPI,declined,13,1
2941.74,5,2,1,425,Card,temporary,4,1
2531.31,9,3,3,583,Wallet,network,20,0
2099.71,8,1,0,274,NetBanking,declined,20,0
9641.49,15,0,0,890,UPI,expired,19,1
729.46,13,2,0,416,Card,declined,3,0
5052.46,3,4,2,518,UPI,declined,19,0
8086.2,10,4,3,835,Card,network,6,1
1834.03,8,3,3,270,UPI,network,17,1
9492.24,10,4,3,496,Card,expired,4,0
7185.15,9,0,0,871,UPI,declined,8,1
3161.76,11,5,0,557,Card,network,12,1
9611.4,8,2,0,968,Card,expired,6,0
1686.25,14,5,2,910,Wallet,temporary,8,0
8249.66,15,3,3,958,NetBanking,network,3,0
7014.97,16,0,2,440,NetBanking,network,22,1
615.78,20,1,3,820,Card,temporary,12,1
3124.92,18,0,0,171,Card,declined,19,0
7947.16,10,3,3,904,Card,expired,5,0
8285.01,9,1,0,434,NetBanking,declined,12,0
9453.1,18,1,0,980,UPI,declined,2,0
2062.84,5,0,3,642,Wallet,expired,4,1
3742.41,18,0,0,745,Wallet,network,21,1
2322.39,6,1,2,304,Wallet,network,4,1
2145.4,6,2,1,438,Card,network,4,1
9763.67,7,4,3,939,Card,expired,18,0
4635.82,0,3,1,902,NetBanking,network,21,1
3896.61,13,5,2,84,UPI,temporary,1,1
2424.93,11,4,0,15,NetBanking,network,9,0
6745.49,4,4,0,604,Card,expired,5,0
9310.24,14,1,0,334,Wallet,declined,8,1
537.21,4,3,2,775,NetBanking,network,9,0
2705.84,8,4,2,456,Card,expired,23,0
7660.39,4,4,3,64,Card,declined,1,0
455.04,8,1,3,456,UPI,network,1,1
9889.3,17,3,3,514,UPI,declined,3,0
2116.96,9,1,1,777,NetBanking,declined,18,0
140.84,18,1,3,952,UPI,declined,15,0
8884.94,0,2,0,413,NetBanking,temporary,10,1
902.53,15,3,2,618,UPI,expired,1,0
9513.87,10,5,1,226,UPI,expired,10,0
7463.62,17,4,3,104,Wallet,expired,5,0
7731.69,12,0,0,882,Card,declined,12,0
2920.87,20,1,0,315,Wallet,network,23,1
3170.0,19,1,2,691,UPI,expired,16,1
4509.88,12,3,2,586,Wallet,temporary,13,0
6177.29,13,5,3,105,UPI,expired,14,0
6511.35,4,3,0,307,Wallet,network,2,0
4828.35,4,1,2,871,Card,network,9,0
5554.84,1,4,0,532,Wallet,network,3,1
7231.07,8,2,2,609,UPI,temporary,3,0
4682.5,5,3,0,95,Wallet,expired,10,0
4604.48,14,4,2,359,Card,declined,5,1
9823.64,8,5,0,454,UPI,temporary,12,1
1800.18,15,3,3,899,Wallet,expired,19,0
6205.77,12,2,0,138,Card,temporary,6,1
257.26,6,0,1,502,Card,declined,13,0
8596.07,17,1,0,318,Wallet,declined,15,1
1252.94,4,5,3,996,Wallet,network,0,0
5893.74,6,2,3,62,NetBanking,temporary,3,0
7159.62,13,3,2,47,Wallet,network,15,0
7273.68,15,1,0,550,UPI,network,18,1
728.75,20,3,3,129,Wallet,expired,14,0
305.99,9,5,1,490,NetBanking,network,7,1
5917.82,10,4,3,144,NetBanking,network,13,0
6763.76,11,3,1,646,Card,expired,22,0
6703.86,4,1,1,170,Wallet,temporary,13,0
4987.88,7,1,0,28,NetBanking,expired,11,0
1829.68,16,0,0,355,Wallet,temporary,19,1
5663.62,15,2,2,813,NetBanking,temporary,17,1
1596.67,16,4,0,733,UPI,network,14,0
7582.07,3,4,0,853,UPI,temporary,5,1
8721.61,11,1,2,735,Wallet,network,23,0
1627.53,11,2,1,135,Card,network,13,0
165.22,15,2,2,527,Card,temporary,8,1
7572.97,11,5,1,165,Wallet,declined,4,0
4192.75,13,3,2,976,UPI,network,4,0
7204.49,16,0,0,356,NetBanking,network,5,1
3993.34,1,5,1,934,UPI,expired,13,0
6840.62,17,2,2,941,NetBanking,temporary,8,0
6142.97,4,5,3,466,Card,network,22,0
8137.13,20,3,1,912,NetBanking,temporary,1,1
3960.94,4,4,2,228,UPI,expired,16,0
6393.29,0,0,2,257,NetBanking,network,16,1
693.46,11,2,2,136,UPI,temporary,14,1
7394.9,14,2,1,834,Card,expired,9,1
7869.41,18,5,1,741,Wallet,declined,3,1
5865.45,11,3,0,160,Wallet,network,2,1
4306.38,4,3,1,466,UPI,expired,21,0
5923.57,16,3,2,608,Wallet,network,14,0
9483.42,13,1,1,527,Card,network,22,1
9683.51,16,4,0,721,Card,network,15,1
1652.71,17,2,0,626,Wallet,temporary,3,1
2966.95,16,1,0,390,NetBanking,expired,9,1
376.98,4,1,3,59,NetBanking,expired,6,0
7422.64,0,0,2,79,UPI,network,15,0
5701.06,10,3,3,864,Card,declined,16,0
7640.62,14,1,2,101,Wallet,network,7,0
3456.08,1,5,3,763,NetBanking,temporary,5,0
5762.75,9,4,0,669,UPI,declined,19,1
7600.39,18,4,1,778,Wallet,temporary,3,1
5365.41,0,2,1,261,Wallet,temporary,17,1
4077.8,1,3,0,358,Wallet,declined,13,1
5326.23,12,2,0,127,UPI,declined,9,1
2629.99,2,1,2,985,Wallet,declined,1,0
3320.38,0,5,0,315,Wallet,temporary,10,1
8940.81,8,3,0,63,Card,declined,19,0
4980.5,16,3,0,285,UPI,expired,14,1
748.04,0,3,1,945,UPI,expired,17,0
6783.46,7,4,1,321,Wallet,network,2,0
5054.28,4,2,1,810,Card,network,17,1
109.91,14,4,2,678,Card,temporary,1,0
4873.64,19,2,3,369,Card,expired,1,1
5387.48,2,2,0,414,UPI,declined,23,0
2866.64,13,1,2,915,NetBanking,expired,22,0
2534.69,10,2,1,480,NetBanking,temporary,22,1
9230.35,19,3,0,933,UPI,declined,13,0
6995.25,15,3,0,816,UPI,temporary,21,1
1321.81,12,4,2,406,Card,temporary,3,1
9368.85,14,0,1,770,UPI,expired,21,0
3642.43,2,4,2,837,Card,declined,15,0
464.28,15,5,1,17,Card,network,3,0
5734.11,15,1,1,685,Card,temporary,18,1
743.99,8,4,1,912,NetBanking,declined,21,1
9701.13,17,4,2,707,Wallet,temporary,13,1
9436.43,1,2,3,874,Wallet,expired,3,0
4719.21,11,4,0,915,Card,temporary,8,0
5370.86,10,0,3,209,NetBanking,temporary,18,0
9903.62,7,5,3,990,UPI,declined,6,1
3176.98,20,5,0,38,Wallet,network,0,1
6300.34,10,2,1,120,Wallet,declined,10,0
8234.17,16,1,0,804,Wallet,temporary,20,1
1335.78,1,0,3,330,UPI,declined,1,0
4474.99,9,4,3,77,UPI,temporary,17,1
8514.3,12,0,3,248,UPI,network,12,1
4338.25,19,4,0,357,UPI,network,16,1
2005.57,3,0,0,617,Card,declined,20,0
3618.37,15,5,3,200,Card,declined,1,1
3185.5,13,4,2,328,Card,declined,15,1
3494.71,11,0,1,68,Card,temporary,13,1
9767.46,20,1,0,359,Card,network,22,1
4727.28,10,4,2,640,NetBanking,network,10,1
4597.59,1,3,1,952,UPI,declined,22,1
6276.81,7,3,2,836,Wallet,declined,12,1
9899.79,11,0,0,376,UPI,temporary,4,1
2024.59,18,2,0,40,Card,declined,9,1
8865.28,5,2,1,192,Card,temporary,5,1
9115.42,0,5,1,398,UPI,expired,6,1
2477.48,11,5,1,973,Wallet,temporary,3,1
9249.14,6,1,3,721,NetBanking,expired,19,1
6397.82,1,4,1,884,NetBanking,declined,10,1
6331.65,8,1,3,224,UPI,network,21,1
1757.59,12,5,2,520,Wallet,declined,10,0
5302.21,15,5,3,495,NetBanking,network,20,0
5881.43,1,1,1,926,Card,network,7,1
3129.39,12,4,1,967,NetBanking,expired,17,1
7541.07,9,3,2,245,UPI,network,16,0
4318.41,14,3,3,386,Wallet,expired,8,0
1877.7,7,2,0,377,UPI,expired,16,1
6472.18,8,1,0,131,UPI,expired,1,1
3404.2,10,2,2,773,NetBanking,declined,22,0
1464.86,17,2,0,798,NetBanking,expired,11,0
4097.73,12,4,0,493,Card,network,7,1
7516.46,15,1,3,749,Wallet,expired,2,1
1959.68,13,1,3,470,UPI,expired,4,0
1370.62,0,3,2,357,Card,network,13,0
4093.35,17,2,2,611,UPI,temporary,4,1
9531.11,10,4,3,400,Card,network,2,1
1964.55,3,2,3,664,NetBanking,temporary,5,1
5573.78,1,5,3,37,Card,declined,2,0
